 ,Area,Mean,Min,Max
318,133,255,255,255
319,613,255,255,255
320,270,255,255,255
321,86,255,255,255
322,61,255,255,255
323,113,255,255,255
324,197,255,255,255
325,159,255,255,255
326,196,255,255,255
327,232,255,255,255
328,59,255,255,255
329,59,255,255,255
330,75,255,255,255
331,95,255,255,255
332,50,255,255,255
333,349,255,255,255
334,73,255,255,255
335,54,255,255,255
336,112,255,255,255
337,92,255,255,255
338,100,255,255,255
339,61,255,255,255
340,118,255,255,255
341,117,255,255,255
342,424,255,255,255
343,65,255,255,255
344,85,255,255,255
345,107,255,255,255
346,65,255,255,255
347,480,255,255,255
348,53,255,255,255
349,79,255,255,255
350,247,255,255,255
351,51,255,255,255
352,109,255,255,255
353,410,255,255,255
354,60,255,255,255
355,62,255,255,255
356,78,255,255,255
357,52,255,255,255
358,61,255,255,255
359,79,255,255,255
360,65,255,255,255
361,88,255,255,255
362,98,255,255,255
363,75,255,255,255
364,189,255,255,255
365,52,255,255,255
366,67,255,255,255
367,1726,255,255,255
368,89,255,255,255
369,77,255,255,255
370,64,255,255,255
371,58,255,255,255
372,109,255,255,255
373,102,255,255,255
374,101,255,255,255
375,63,255,255,255
376,98,255,255,255
377,52,255,255,255
378,53,255,255,255
379,57,255,255,255
380,82,255,255,255
381,112,255,255,255
382,68,255,255,255
383,100,255,255,255
384,58,255,255,255
385,72,255,255,255
386,85,255,255,255
387,302,255,255,255
388,115,255,255,255
389,81,255,255,255
390,90,255,255,255
391,156,255,255,255
392,1623,255,255,255
393,83,255,255,255
394,242,255,255,255
395,182,255,255,255
396,50,255,255,255
397,86,255,255,255
398,116,255,255,255
399,1547,255,255,255
400,480,255,255,255
401,98,255,255,255
402,125,255,255,255
403,70,255,255,255
404,229,255,255,255
405,95,255,255,255
406,161,255,255,255
407,53,255,255,255
408,644,255,255,255
409,52,255,255,255
410,919,255,255,255
411,77,255,255,255
412,60,255,255,255
413,167,255,255,255
414,99,255,255,255
415,52,255,255,255
416,73,255,255,255
417,244,255,255,255
418,200,255,255,255
419,125,255,255,255
420,145,255,255,255
421,68,255,255,255
422,147,255,255,255
423,69,255,255,255
424,52,255,255,255
425,51,255,255,255
426,66,255,255,255
427,316,255,255,255
428,78,255,255,255
429,58,255,255,255
430,64,255,255,255
431,372,255,255,255
432,72,255,255,255
433,273,255,255,255
434,113,255,255,255
435,89,255,255,255
436,66,255,255,255
437,80,255,255,255
438,378,255,255,255
439,1279,255,255,255
440,53,255,255,255
441,58,255,255,255
442,70,255,255,255
443,59,255,255,255
444,58,255,255,255
445,69,255,255,255
446,87,255,255,255
447,150,255,255,255
448,169,255,255,255
449,53,255,255,255
450,103,255,255,255
451,65,255,255,255
452,56,255,255,255
453,60,255,255,255
454,52,255,255,255
455,292,255,255,255
456,50,255,255,255
457,485,255,255,255
458,74,255,255,255
459,69,255,255,255
460,81,255,255,255
461,93,255,255,255
462,815,255,255,255
463,412,255,255,255
464,63,255,255,255
465,70,255,255,255
466,60,255,255,255
467,176,255,255,255
468,153,255,255,255
469,55,255,255,255
470,138,255,255,255
471,183,255,255,255
472,446,255,255,255
473,149,255,255,255
474,167,255,255,255
475,121,255,255,255
476,129,255,255,255
477,253,255,255,255
478,61,255,255,255
479,63,255,255,255
480,89,255,255,255
481,126,255,255,255
482,492,255,255,255
483,164,255,255,255
484,84,255,255,255
485,80,255,255,255
486,72,255,255,255
487,183,255,255,255
488,133,255,255,255
489,65,255,255,255
490,56,255,255,255
491,582,255,255,255
492,53,255,255,255
493,98,255,255,255
494,82,255,255,255
495,70,255,255,255
496,50,255,255,255
497,179,255,255,255
498,72,255,255,255
499,74,255,255,255
500,75,255,255,255
501,69,255,255,255
502,98,255,255,255
503,58,255,255,255
504,79,255,255,255
505,410,255,255,255
506,83,255,255,255
507,54,255,255,255
508,231,255,255,255
509,182,255,255,255
510,53,255,255,255
511,266,255,255,255
512,99,255,255,255
513,144,255,255,255
514,109,255,255,255
515,83,255,255,255
516,51,255,255,255
517,64,255,255,255
518,60,255,255,255
519,55,255,255,255
520,55,255,255,255
521,2833,255,255,255
522,121,255,255,255
523,133,255,255,255
524,95,255,255,255
525,218,255,255,255
526,73,255,255,255
