Slice,Count,Total Area,Average Size,%Area,Mean
155,10,45633,4563.300,7.130,255
156,10,45147,4514.700,7.054,255
157,10,45843,4584.300,7.163,255
158,10,45473,4547.300,7.105,255
159,10,44814,4481.400,7.002,255
160,10,44867,4486.700,7.010,255
161,9,44873,4985.889,7.011,255
162,10,45037,4503.700,7.037,255
163,9,44804,4978.222,7.001,255
164,9,43887,4876.333,6.857,255
165,9,44509,4945.444,6.955,255
166,9,43678,4853.111,6.825,255
167,11,44223,4020.273,6.910,255
168,10,43839,4383.900,6.850,255
169,10,45356,4535.600,7.087,255
170,10,45064,4506.400,7.041,255
171,10,44966,4496.600,7.026,255
172,9,44366,4929.556,6.932,255
173,10,43784,4378.400,6.841,255
174,10,43908,4390.800,6.861,255
175,10,44342,4434.200,6.928,255
176,8,42544,5318.000,6.647,255
177,10,43910,4391.000,6.861,255
178,9,44020,4891.111,6.878,255
179,10,43199,4319.900,6.750,255
180,10,43321,4332.100,6.769,255
181,9,43696,4855.111,6.827,255
182,9,43937,4881.889,6.865,255
183,10,44446,4444.600,6.945,255
184,8,44879,5609.875,7.012,255
185,10,45331,4533.100,7.083,255
186,9,44306,4922.889,6.923,255
187,9,44385,4931.667,6.935,255
188,8,42764,5345.500,6.682,255
189,8,43355,5419.375,6.774,255
190,9,43375,4819.444,6.777,255
191,9,44741,4971.222,6.991,255
192,9,44051,4894.556,6.883,255
193,9,43319,4813.222,6.769,255
194,9,43411,4823.444,6.783,255
195,8,44816,5602.000,7.003,255
196,11,43708,3973.455,6.829,255
197,8,45213,5651.625,7.065,255
198,11,45032,4093.818,7.036,255
199,8,43607,5450.875,6.814,255
200,10,43642,4364.200,6.819,255
201,10,45296,4529.600,7.077,255
202,9,43242,4804.667,6.757,255
203,8,44487,5560.875,6.951,255
204,8,43532,5441.500,6.802,255
205,10,45325,4532.500,7.082,255
206,8,44507,5563.375,6.954,255
207,8,44697,5587.125,6.984,255
208,6,43516,7252.667,6.799,255
209,7,44524,6360.571,6.957,255
210,9,44657,4961.889,6.978,255
211,8,43928,5491.000,6.864,255
212,7,43682,6240.286,6.825,255
213,7,44559,6365.571,6.962,255
214,9,44038,4893.111,6.881,255
215,7,45769,6538.429,7.151,255
216,8,45499,5687.375,7.109,255
217,8,43536,5442.000,6.803,255
218,7,45876,6553.714,7.168,255
219,9,44599,4955.444,6.969,255
220,7,43738,6248.286,6.834,255
221,10,45039,4503.900,7.037,255
222,7,43363,6194.714,6.775,255
223,7,43472,6210.286,6.793,255
224,9,42557,4728.556,6.650,255
225,9,43147,4794.111,6.742,255
226,7,43759,6251.286,6.837,255
227,7,42484,6069.143,6.638,255
228,10,43957,4395.700,6.868,255
229,7,43565,6223.571,6.807,255
230,8,44710,5588.750,6.986,255
231,7,44716,6388.000,6.987,255
232,8,44187,5523.375,6.904,255
233,8,44274,5534.250,6.918,255
234,6,43784,7297.333,6.841,255
235,7,44664,6380.571,6.979,255
236,6,43774,7295.667,6.840,255
237,8,44015,5501.875,6.877,255
